Ligne	"Horaire"	Retard	"Date"	"Usager"
3	"11:59"	1	"1 mars"	"Sandra"
3	"11:09"	2	"2 mars"	"Sandra"
3	"16:38"	1	"3 mars"	"Sandra"
3	"13:30"	4	"3 mars"	"Sandra"
3	"12:32"	1	"3 mars"	"Sandra"
3	"8:36"	2	"4 mars"	"Sandra"
3	"12:00"	-1	"7 mars"	"Sandra"
3	"10:22"	1	"9 mars"	"Sandra"
3	"10:24"	7	"11 mars"	"Sandra"
3	"13:15"	5	"12 mars"	"Sandra"
3	"6:16"	0	"13 mars"	"Sandra"
3	"7:09"	1	"14 mars"	"Sandra"
3	"13:05"	0	"15 mars"	"Sandra"
3	"14:39"	-2	"17 mars"	"Sandra"
3	"14:06"	1	"19 mars"	"Sandra"
3	"8:12"	4	"22 mars"	"Sandra"
3	"11:15"	0	"22 mars"	"Sandra"
3	"10:44"	7	"23 mars"	"Sandra"
3	"15:02"	0	"24 mars"	"Sandra"
3	"15:29"	-2	"27 mars"	"Sandra"
3	"20:01"	2	"29 mars"	"Sandra"
3	"17:15"	5	"3 mars"	"Bernard"
3	"17:37"	-1	"3 mars"	"Bernard"
3	"16:18"	2	"5 mars"	"Bernard"
3	"12:10"	1	"7 mars"	"Bernard"
3	"10:26"	5	"9 mars"	"Bernard"
3	"6:39"	4	"11 mars"	"Bernard"
3	"18:10"	2	"18 mars"	"Bernard"
3	"16:35"	-1	"19 mars"	"Bernard"
3	"16:25"	0	"20 mars"	"Bernard"
3	"9:43"	-1	"20 mars"	"Bernard"
3	"7:05"	1	"21 mars"	"Bernard"
3	"10:45"	-2	"21 mars"	"Bernard"
3	"19:42"	1	"21 mars"	"Bernard"
3	"7:26"	2	"22 mars"	"Bernard"
3	"9:58"	1	"23 mars"	"Bernard"
3	"9:34"	0	"24 mars"	"Bernard"
3	"16:44"	2	"24 mars"	"Bernard"
3	"13:28"	1	"25 mars"	"Bernard"
3	"16:23"	1	"30 mars"	"Bernard"
3	"8:18"	1	"30 mars"	"Bernard"
3	"7:52"	0	"31 mars"	"Bernard"
4	"13:29"	0	"5 mars"	"momo"
4	"14:16"	3	"8 mars"	"momo"
4	"15:15"	5	"8 mars"	"momo"
4	"19:48"	3	"10 mars"	"momo"
4	"10:56"	1	"14 mars"	"momo"
4	"18:53"	3	"17 mars"	"momo"
4	"19:18"	2	"18 mars"	"momo"
4	"12:23"	2	"19 mars"	"momo"
4	"15:13"	-1	"19 mars"	"momo"
4	"7:41"	1	"20 mars"	"momo"
4	"19:43"	2	"21 mars"	"momo"
4	"12:55"	1	"22 mars"	"momo"
4	"11:20"	1	"23 mars"	"momo"
4	"18:38"	2	"26 mars"	"momo"
4	"12:06"	-1	"26 mars"	"momo"
4	"18:02"	1	"26 mars"	"momo"
4	"12:03"	0	"29 mars"	"momo"
4	"8:12"	2	"30 mars"	"momo"
4	"15:50"	1	"2 mars"	"Madame Durand"
4	"12:58"	1	"3 mars"	"Madame Durand"
4	"12:57"	2	"6 mars"	"Madame Durand"
4	"14:00"	1	"6 mars"	"Madame Durand"
4	"18:41"	1	"9 mars"	"Madame Durand"
4	"19:07"	4	"10 mars"	"Madame Durand"
4	"12:23"	0	"10 mars"	"Madame Durand"
4	"12:35"	1	"11 mars"	"Madame Durand"
4	"17:35"	2	"11 mars"	"Madame Durand"
4	"9:44"	-1	"11 mars"	"Madame Durand"
4	"10:26"	1	"13 mars"	"Madame Durand"
4	"20:30"	1	"17 mars"	"Madame Durand"
4	"12:19"	2	"17 mars"	"Madame Durand"
